Organization name,Website,Min age,Max age,Grade levels served,Early education services,Youth development services,Program year,Program model,Cost,Registration,Transportation,Location,Schools served,Schedule,Description
Massachusetts Design Art & Technology Institute (DATMA),https://datma.org/,5,,Elementary; Middle; High; Out of School,,Visual Arts/Performing Arts/Culture; Mentoring/Leadership,Full Year,After School; Partial Day; Full Day; Evening,Free,Drop In; Restricted Access,Accessible From Public Transportation,"NB Downtown, NB Northend, NB Westend, NB Southend, Acushnet, Fairhaven, Dartmouth, DATMA brings programs into classrooms",All,Monday-Saturday,"DATMA works with teachers (Restricted access) to create programs and bring them into the classroom- during school hours or after school, and during the summer. DATMA provides pop-up programs in public shared spaces overlapping with public, family friendly (drop-in) events. Our programs take-place throughout the SouthCoast. Learn more at www.datma.org/education."
Nativity Preparatory School New Bedford,https://www.nativitynb.org/,10,15,Middle,,Health Safety & Wellness; Academic Achievement; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Sports/Recreation; Science/Nature; Vocational Readiness,School Year,Full Day,Free,Application Required,Accessible From Public Transportation,NB Downtown,Nativity Prep,Monday-Saturday,"All boys, tuition free, independent middle school"
New Bedford Art Museum,https://newbedfordart.org/,5,18,Elementary; Middle; High; Out of School,,Visual Arts/Performing Arts/Culture,,,Free; Fee,Application Required; Drop In,,NB Downtown,All,Tuesday-Sunday,"New Bedford Art Museum offers free interactive gallery lessons to schools and community groups. We also have a popular weekly and quite affordable art-making program for children and their families called KidZone. Our purple artMobile van travels through the city during the summer, engaging children with fun art projects. We also have on-site art camp for children in the summer, and art classes for children throughout the year."
New Bedford Ballet,https://www.newbedfordballet.org/,3,18,Pre-K; Elementary; Middle; High,,Visual Arts/Performing Arts/Culture,Full Year,After School,Fee; Financial Assistance,Application Required,Accessible From Public Transportation,NB Northend,All,Monday-Saturday,
New Bedford Free Public Library,https://www.newbedford-ma.gov/library/,,,All Ages,,Academic Achievement,Full Year,Full Day,Free,Drop In,Accessible From Public Transportation,NB Downtown,All,Monday-Saturday,
New Bedford Housing Authority,https://newbedfordhousingauthority.org/,6,15,Elementary; Middle,,Academic Achievement,School Year,After School,Free,Restricted Access,,NB Northend;NB Southend,"Gomes, Pacheco",Monday-Thursday,The NBHA after-school tutoring programs are open to any youth living in public housing and the surrounding community of each program site. Sites for the 2024/2025 academic year are Presidential Heights and Bay Village.
New Bedford Rowing Center,https://newbedfordrowing.org/,12,,Middle; High; Out of School,,Health Safety & Wellness; Mentoring/Leadership; Sports/Recreation,Full Year,Before School; After School; Partial Day,Fee; Financial Assistance,Drop In,,NB Downtown;Pope's Island,All Middle and High Schools,7 Days,"Under Registration, we ask that participants register in advance via our website or by email at info@newbedfordrowing.org."
New Bedford Star Kids Scholarship Program,https://newbedfordstarkids.org/,5,18,Elementary; Middle; High,,,Full Year,Full Day,Financial Assistance,Application Required,,NB Downtown,All,Monday-Friday,We are a funding program only; K-12 educational & extra curricular funding
New Bedford Symphony Orchestra,https://nbsymphony.org/,,18,All Ages,Care Infant and Toddler; Care Preschool; Care School Age,Visual Arts/Performing Arts/Culture,Full Year,After School; Partial Day; Evening,Free; Fee; Financial Assistance,Application Required,,"NB Northend, NB Westend, NB Southend, Acushnet, Fairhaven, Dartmouth",All,7 Days,
New Bedford Whaling Museum,https://www.whalingmuseum.org/,5,18,Elementary; Middle; High; Out of School,,Academic Achievement; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Science/Nature; Vocational Readiness,Full Year,After School; Full Day,Free; Fee; Financial Assistance,Application Required,Accessible From Public Transportation,NB Downtown,"All Elementary,  All Middle,  All High Schools",Monday-Sunday,
New Bedford Whaling National Historical Park,https://www.nps.gov/nebe/index.htm,,,Elementary; Middle; High; Out of School,,Visual Arts/Performing Arts/Culture; Mentoring/Leadership,Full Year,,Free,Application Required; Drop In,Accessible From Public Transportation,NB Downtown,,Wednesday,"We offer a variety of programs throughout the year. We offer a fourth grader camp during spring break. We offer a camp for rising fourth graders in the summer, for two separate weeks. We offer various programming for all ages throughout the year."
Our Sisters' School,https://www.oursistersschool.org/,10,14,Middle,Care School Age,,School Year; Summer,After School; Full Day,Free,Application Required,Provided To Our Site,NB Westend,All Elementary,Monday-Friday,All girls middle school (grades 5-8)
PAACA,https://www.paaca.org/,11,18,Elementary; Middle; High,,Health Safety & Wellness; Academic Achievement; Mentoring/Leadership,Full Year,After School,Free,Application Required,Accessible From Public Transportation,NB Northend,"All Elementary, All Middle, All High Schools","Tuesday-Thursday, Saturday",
PACE YouthBuild (PACE Workforce Development Center),https://paceinfo.org/programs/pace-youthbuild/,16,,Out of School,,Health Safety & Wellness; Academic Achievement; Mentoring/Leadership; Vocational Readiness,Full Year,Full Day,Free,Application Required,Accessible From Public Transportation,NB Downtown,All High Schools,Monday-Friday,"The PACE Workforce Development Center (WDC) houses both our YouthBuild New Bedford Program as well as our soon to be operational adult program READY (Reaching Employment Access to Discover Your FUTURE).The WDC provides low-income Greater New Bedford residents with quality professional education and training opportunities. Skill building and customized training sessions are available to prepare individuals to reach their workforce goals. Our goal is for individuals to learn professional and productivity skills that will increase access to employment, successful career pathways, and economic self-sufficiency."
Parks Recreation & Beaches,https://www.newbedford-ma.gov/parks-recreation-beaches/,5,,Elementary; Pre-K; Middle; High; Out of School,,Health Safety & Wellness; Visual Arts/Performing Arts/Culture; Sports/Recreation; Vocational Readiness,Full Year,After School; Full Day; Evening,Free; Fee; Financial Assistance,Application Required; Drop In,Accessible From Public Transportation,"NB Downtown, NB Northend, NB Westend, NB Southend",All,7 Days,
St. Andrew's Afterschool Program,https://www.standrewsnb.org/afterschool-enrichment-program,5,11,Elementary,Care Preschool; Care School Age,,School Year; Summer,After School; Partial Day,Free,Application Required,Provided To Our Site,NB Northend,Lincoln,Tuesday-Wednesday,
"The Marion Institute, Inc.",https://www.marioninstitute.org/,8,9,Elementary,,Science/Nature,School Year,Full Day,Free,Restricted Access,,"NB Downtown, NB Northend, NB Westend, NB Southend, Westport, Sippican, Wareham. Will expand to other school districts in 2025","All Elementary schools in New Bedford, Westport, Sippican, Wareham",Monday-Friday,"We contract with School districts to implement the Farm to School program, which includes providing services for three years directly with the school district to train teachers on the use of curriculum, putting in raised beds, providing activities and education on food for the 3rd graders. After three years, the school district is responsible for the implementation of the program."
The South Coast LGBTQ+ Network,https://www.sclgbtqnetwork.org/,12,,Middle; High,,Health Safety & Wellness; Visual Arts/Performing Arts/Culture,Full Year,Partial Day,Free,Drop In,,NB Downtown,"All Middle, All High Schools",7 Days,
The Trustees - Mobile Adventures,https://thetrustees.org/program/trustees-mobile-adventurer/,6,12,Elementary; Middle,,Science/Nature,Full Year,Weekend Only; After School; Evening,Free,Drop In,Accessible From Public Transportation,"NB Downtown, NB Northend, NB Westend, NB Southend, Fall River",All Elementary,Monday-Saturday,"Mobile Adventures is a drop-in program of play and exploration program activities that serves children and families at public parks, free lunch programs, and community events."
YMCA SC Camp Frederick Douglass,https://ymcasouthcoast.org/location/camp-frederick-douglass/,3,12,Pre-K; Elementary; Middle,Care Preschool; Care School Age,Sports/Recreation,Full Year,After School; Full Day,Slide Scale Based on Income; Fee; Financial Assistance; Accepts Child Care Subsidies,Application Required,Provided To Our Site,NB Downtown,"Ashley, Brooks, Carney, Congdon, DeValles, Hathaway, Hay Mac, Homeschooled, Jacobs, Lincoln, Pacheco, Parker, Rodman, Roosevelt Middle, Sea Lab, Swift, Taylor, Winslow",Monday-Friday,
"Youth Opportunities Unlimited, Inc.",https://www.younb.org/,9,14,Elementary; Middle,Care School Age,Health Safety & Wellness; Academic Achievement; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Sports/Recreation; Science/Nature,Full Year; School Holidays/ Breaks; Summer,After School,Free; Financial Assistance,Application Required,Provided To Our Site; Accessible From Public Transportation,NB Southend,"New Bedford and Greater New Bedford Schools, Homeschoolers",Monday-Friday,"The majority of our program is free for those who cannot pay. We do charge program fees for some of our programming to those who can pay. Transportation is provided for the students who take part in the 21st Century Program only. Some of our programs are open to the public, while others are reserved for specific schools/organizations."
YWCA Southeastern MA,https://ywcasema.org/,5,13,Elementary; Out of School,Care School Age,,Full Year,After School,Fee; Accepts Child Care Subsidies,Application Required,Provided To Our Site; Provided From Our Program Site To Home; Accessible From Public Transportation,NB Downtown,"Ashley, Alma Del Mar, Carney, Congdon, DeValles, GLCPS, Gomes, Hathaway, Lincoln, Rodman, Swift, Trinity Day Academy, Winslow",Monday-Friday,"Some of the schools that we serve are not on our bus route to pick up but the children are transported to us by the school or due to the child's IEP. Those schools are: Trinity, Global, Alma and other schools from Acushnet. We currently do not have openings on for the bus home. We accept PACE vouchers, we have Income Eligible Slots, DCF referrals and Private Pays."
Zeiterion Performing Arts Center,https://www.zeiterion.org/,3,,Pre-K; Elementary; Middle; High; Out of School,Care Infant and Toddler; Care Preschool; Care School Age,Health Safety & Wellness; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Vocational Readiness,Full Year,After School; Evening; Weekend Only,Free; Slide Scale Based on Income; Fee; Financial Assistance,Application Required; Drop In,Accessible From Public Transportation,NB Downtown,"All, All Elementary, All Middle, All High Schools",7 Days,"Different programs serve different populations, take place at different times, and cost different amounts. Our Teen Ambassador program is exclusively for 13-19 year olds, our SchoolTime performance series is for all school aged children and neurodiverse adult programs, but each show is geared towards a different grade band. Our Creative Classroom has some programming for young people and some programming for adults."
